"EcoR_ID" "EcoR_Name" "NAME_ENGL" "disp_plot" "Coef_b" "Coef_q"
"88" 421 "Ionian_Drainages" "Greece" "1 km" -0.541999929617952 0.34299034718588
"89" 421 "Ionian_Drainages" "Greece" "2 km" -0.540171538547093 0.343917239337681
"90" 421 "Ionian_Drainages" "Greece" "5 km" -0.566806377575918 0.346009907135892
"91" 421 "Ionian_Drainages" "Greece" "10 km" -0.564832935915378 0.34532700621796
"92" 420 "Southeast_Adriatic_Drainages" "Montenegro" "0.001 km" -0.528586037189188 0.328099231606685
"93" 420 "Southeast_Adriatic_Drainages" "Montenegro" "0.1 km" -0.530001913828837 0.337159196244614
"94" 420 "Southeast_Adriatic_Drainages" "Montenegro" "0.5 km" -0.620466121378534 0.342648625798205
"95" 420 "Southeast_Adriatic_Drainages" "Montenegro" "1 km" -0.616153301435821 0.344439392161286
"96" 420 "Southeast_Adriatic_Drainages" "Montenegro" "2 km" -0.543987642857021 0.342550479569129
"97" 420 "Southeast_Adriatic_Drainages" "Montenegro" "5 km" -0.630127805207114 0.346371199213288
"98" 420 "Southeast_Adriatic_Drainages" "Montenegro" "10 km" -0.588379679344951 0.34529202727555
"99" 420 "Southeast_Adriatic_Drainages" "Serbia" "0.001 km" -0.528586037189188 0.328099231606685
"100" 420 "Southeast_Adriatic_Drainages" "Serbia" "0.1 km" -0.530001913828837 0.337159196244614
"101" 420 "Southeast_Adriatic_Drainages" "Serbia" "0.5 km" -0.620466121378534 0.342648625798205
"102" 420 "Southeast_Adriatic_Drainages" "Serbia" "1 km" -0.616153301435821 0.344439392161286
"103" 420 "Southeast_Adriatic_Drainages" "Serbia" "2 km" -0.543987642857021 0.342550479569129
"104" 420 "Southeast_Adriatic_Drainages" "Serbia" "5 km" -0.630127805207114 0.346371199213288
"105" 420 "Southeast_Adriatic_Drainages" "Serbia" "10 km" -0.588379679344951 0.34529202727555
"106" 420 "Southeast_Adriatic_Drainages" "Albania" "0.001 km" -0.528586037189188 0.328099231606685
"107" 420 "Southeast_Adriatic_Drainages" "Albania" "0.1 km" -0.530001913828837 0.337159196244614
"108" 420 "Southeast_Adriatic_Drainages" "Albania" "0.5 km" -0.620466121378534 0.342648625798205
"109" 420 "Southeast_Adriatic_Drainages" "Albania" "1 km" -0.616153301435821 0.344439392161286
"110" 420 "Southeast_Adriatic_Drainages" "Albania" "2 km" -0.543987642857021 0.342550479569129
