"EcoR_ID" "EcoR_Name" "NAME_ENGL" "disp_plot" "b_Coef" "q_Coef"
"138" 422 "Vardar" "Serbia" "2 km" -0.736178731958784 0.345678625983397
"139" 422 "Vardar" "Serbia" "5 km" -0.756195393148003 0.348549039965435
"140" 422 "Vardar" "Serbia" "10 km" -0.765901666149845 0.34960256982283
"141" 422 "Vardar" "North Macedonia" "0.001 km" -0.31245565786902 NA
"142" 422 "Vardar" "North Macedonia" "0.1 km" -0.838532230471646 0.34441991624145
"143" 422 "Vardar" "North Macedonia" "0.5 km" -0.796408226355931 0.344043288337198
"144" 422 "Vardar" "North Macedonia" "1 km" -0.75173909936192 0.3449021771194
"145" 422 "Vardar" "North Macedonia" "2 km" -0.736178731958784 0.345678625983397
"146" 422 "Vardar" "North Macedonia" "5 km" -0.756195393148003 0.348549039965435
"147" 422 "Vardar" "North Macedonia" "10 km" -0.765901666149845 0.34960256982283
"148" 422 "Vardar" "Greece" "0.001 km" -0.31245565786902 NA
"149" 422 "Vardar" "Greece" "0.1 km" -0.838532230471646 0.34441991624145
"150" 422 "Vardar" "Greece" "0.5 km" -0.796408226355931 0.344043288337198
"151" 422 "Vardar" "Greece" "1 km" -0.75173909936192 0.3449021771194
"152" 422 "Vardar" "Greece" "2 km" -0.736178731958784 0.345678625983397
"153" 422 "Vardar" "Greece" "5 km" -0.756195393148003 0.348549039965435
"154" 422 "Vardar" "Greece" "10 km" -0.765901666149845 0.34960256982283
"155" 419 "Dalmatia" "Slovenia" "0.001 km" -0.571590832274364 0.337003285330505
"156" 419 "Dalmatia" "Slovenia" "0.1 km" -0.692619155065595 0.345284888632683
"157" 419 "Dalmatia" "Slovenia" "0.5 km" -0.722529058805815 0.347431425468526
"158" 419 "Dalmatia" "Slovenia" "1 km" -0.584885596483282 0.34465140755514
"159" 419 "Dalmatia" "Slovenia" "2 km" -0.639568398515847 0.3474743089043
"160" 419 "Dalmatia" "Slovenia" "5 km" -0.632567082271893 0.348470312418853
"161" 419 "Dalmatia" "Slovenia" "10 km" -0.639846477317221 0.348229416564789
"162" 419 "Dalmatia" "Italy" "0.001 km" -0.571590832274364 0.337003285330505
"163" 419 "Dalmatia" "Italy" "0.1 km" -0.692619155065595 0.345284888632683
"164" 419 "Dalmatia" "Italy" "0.5 km" -0.722529058805815 0.347431425468526
"165" 419 "Dalmatia" "Italy" "1 km" -0.584885596483282 0.34465140755514
"166" 419 "Dalmatia" "Italy" "2 km" -0.639568398515847 0.3474743089043
"167" 419 "Dalmatia" "Italy" "5 km" -0.632567082271893 0.348470312418853
"168" 419 "Dalmatia" "Italy" "10 km" -0.639846477317221 0.348229416564789
"169" 419 "Dalmatia" "Croatia" "0.001 km" -0.571590832274364 0.337003285330505
"170" 419 "Dalmatia" "Croatia" "0.1 km" -0.692619155065595 0.345284888632683
"171" 419 "Dalmatia" "Croatia" "0.5 km" -0.722529058805815 0.347431425468526
"172" 419 "Dalmatia" "Croatia" "1 km" -0.584885596483282 0.34465140755514
"173" 419 "Dalmatia" "Croatia" "2 km" -0.639568398515847 0.3474743089043
"174" 419 "Dalmatia" "Croatia" "5 km" -0.632567082271893 0.348470312418853
"175" 419 "Dalmatia" "Croatia" "10 km" -0.639846477317221 0.348229416564789
"176" 419 "Dalmatia" "Bosnia and Herzegovina" "0.001 km" -0.571590832274364 0.337003285330505
"177" 419 "Dalmatia" "Bosnia and Herzegovina" "0.1 km" -0.692619155065595 0.345284888632683
"178" 419 "Dalmatia" "Bosnia and Herzegovina" "0.5 km" -0.722529058805815 0.347431425468526
"179" 419 "Dalmatia" "Bosnia and Herzegovina" "1 km" -0.584885596483282 0.34465140755514
"180" 419 "Dalmatia" "Bosnia and Herzegovina" "2 km" -0.639568398515847 0.3474743089043
"181" 419 "Dalmatia" "Bosnia and Herzegovina" "5 km" -0.632567082271893 0.348470312418853
"182" 419 "Dalmatia" "Bosnia and Herzegovina" "10 km" -0.639846477317221 0.348229416564789
"183" 419 "Dalmatia" "Montenegro" "0.001 km" -0.571590832274364 0.337003285330505
"184" 419 "Dalmatia" "Montenegro" "0.1 km" -0.692619155065595 0.345284888632683
"185" 419 "Dalmatia" "Montenegro" "0.5 km" -0.722529058805815 0.347431425468526
"186" 419 "Dalmatia" "Montenegro" "1 km" -0.584885596483282 0.34465140755514
"187" 419 "Dalmatia" "Montenegro" "2 km" -0.639568398515847 0.3474743089043
"188" 419 "Dalmatia" "Montenegro" "5 km" -0.632567082271893 0.348470312418853
"189" 419 "Dalmatia" "Montenegro" "10 km" -0.639846477317221 0.348229416564789
"190" 431 "Central_Anatolia" "Turkey" "0.001 km" -0.445901713373601 0.316941394566215
"191" 431 "Central_Anatolia" "Turkey" "0.1 km" -0.351192049744575 NA
"192" 431 "Central_Anatolia" "Turkey" "0.5 km" -0.425614826041532 0.324244939584238
"193" 431 "Central_Anatolia" "Turkey" "1 km" -0.415681572342654 0.326246789081006
"194" 431 "Central_Anatolia" "Turkey" "2 km" -0.461041126464615 0.330726965524488
"195" 431 "Central_Anatolia" "Turkey" "5 km" -0.415916496619163 0.329890630802363
"196" 431 "Central_Anatolia" "Turkey" "10 km" -0.562236464919427 0.337596248080905
"197" 442 "Upper_Tigris_&_Euphrates" "Turkey" "0.001 km" -0.4173829823532 NA
"198" 442 "Upper_Tigris_&_Euphrates" "Turkey" "0.1 km" -0.783226635091181 0.346456843437954
"199" 442 "Upper_Tigris_&_Euphrates" "Turkey" "0.5 km" -0.699655058880747 0.345153153366654
"200" 442 "Upper_Tigris_&_Euphrates" "Turkey" "1 km" -0.770369954397186 0.348410418558593
"201" 442 "Upper_Tigris_&_Euphrates" "Turkey" "2 km" -0.756220024117513 0.348270125620295
"202" 442 "Upper_Tigris_&_Euphrates" "Turkey" "5 km" -0.766685971959967 0.349940498056297
"203" 442 "Upper_Tigris_&_Euphrates" "Turkey" "10 km" -0.772470287428076 0.351230553542491
"204" 442 "Upper_Tigris_&_Euphrates" "Syria" "0.001 km" -0.4173829823532 NA
"205" 442 "Upper_Tigris_&_Euphrates" "Syria" "0.1 km" -0.783226635091181 0.346456843437954
"206" 442 "Upper_Tigris_&_Euphrates" "Syria" "0.5 km" -0.699655058880747 0.345153153366654
"207" 442 "Upper_Tigris_&_Euphrates" "Syria" "1 km" -0.770369954397186 0.348410418558593
"208" 442 "Upper_Tigris_&_Euphrates" "Syria" "2 km" -0.756220024117513 0.348270125620295
"209" 442 "Upper_Tigris_&_Euphrates" "Syria" "5 km" -0.766685971959967 0.349940498056297
"210" 442 "Upper_Tigris_&_Euphrates" "Syria" "10 km" -0.772470287428076 0.351230553542491
