"Freshwater.type" "Diversity.decay.parameter" "Dispersal" "Descriptors" "Estimate" "Std..Error" "z.value" "Pr...z.."
"Permanent" "Collapsing rate (q)" "0.5 km" "s(OutDeg_CV)" 1.6727139398273 2 9.71803571333538 0.00103234003571928
"Permanent" "Collapsing rate (q)" "0.5 km" "s(WatCov_Mean)" 0.680066831842323 2 2.12633759118118 0.0586366756482241
"Permanent" "Collapsing rate (q)" "0.5 km" "s(WatCov_CV)" 0.760790732272225 2 3.17676581296534 0.0205047884564868
"Permanent" "Proportional decay rate (b)" "1 km" "(Intercept)" 0.313387952856354 0.0773250424328579 4.05286493219156 5.0594215319422e-05
"Permanent" "Proportional decay rate (b)" "1 km" "s(Long)" 0.940166708091913 2 2.15360971929173 0.0915325246000674
"Permanent" "Proportional decay rate (b)" "1 km" "s(Betw_CV)" 1.62384438385286 4 6.25813016460494 0.0123706746097352
"Permanent" "Proportional decay rate (b)" "1 km" "s(OutDeg_CV)" 6.91628476921998e-06 2 4.07713908596573e-07 0.922505897658889
"Permanent" "Proportional decay rate (b)" "1 km" "s(WatCov_Mean)" 0.772307423400172 2 3.31054330549586 0.0310555851791876
"Permanent" "Proportional decay rate (b)" "1 km" "s(WatCov_CV)" 0.779991619483661 2 3.47448260498184 0.0299395242671402
"Permanent" "Collapsing rate (q)" "1 km" "(Intercept)" -0.670390271934592 0.00327156398780091 -204.914308396339 0
"Permanent" "Collapsing rate (q)" "1 km" "s(Long)" 4.32163879707662e-05 2 2.16524497396491e-05 0.553478638399824
"Permanent" "Collapsing rate (q)" "1 km" "s(Betw_CV)" 0.869080326975763 4 6.61937522777731 0.00496091999801196
"Permanent" "Collapsing rate (q)" "1 km" "s(OutDeg_CV)" 0.868393865720307 2 6.59835312900475 0.00209889124740237
"Permanent" "Collapsing rate (q)" "1 km" "s(WatCov_Mean)" 0.767798907509783 2 3.30841726122502 0.028758099497695
"Permanent" "Collapsing rate (q)" "1 km" "s(WatCov_CV)" 0.802558838612492 2 4.06160280086795 0.0127836397316303
"Permanent" "Proportional decay rate (b)" "2 km" "(Intercept)" 0.401618579396476 0.0818271409940738 4.90813408017717 9.19469883062565e-07
"Permanent" "Proportional decay rate (b)" "2 km" "s(Long)" 5.06003530829369e-05 2 4.53128495860038e-05 0.378498337498278
"Permanent" "Proportional decay rate (b)" "2 km" "s(Betw_CV)" 0.89409984978747 4 8.30891279007334 0.0020760896309997
"Permanent" "Proportional decay rate (b)" "2 km" "s(OutDeg_CV)" 6.77143181541463e-06 2 1.15658820492297e-06 0.815759128581625
"Permanent" "Proportional decay rate (b)" "2 km" "s(WatCov_Mean)" 0.887507261126604 2 7.65104186745501 0.0028582668565138
"Permanent" "Proportional decay rate (b)" "2 km" "s(WatCov_CV)" 0.833743871623695 2 4.89609148789324 0.014697627302017
"Permanent" "Collapsing rate (q)" "2 km" "(Intercept)" -0.659238132169288 0.00299826983332623 -219.872849615386 0
"Permanent" "Collapsing rate (q)" "2 km" "s(Long)" 0.000114762776722947 2 1.2051461484404e-05 0.882509465127065
"Permanent" "Collapsing rate (q)" "2 km" "s(Betw_CV)" 1.02757324356308 4 2.83530256108496 0.060073897937574
"Permanent" "Collapsing rate (q)" "2 km" "s(OutDeg_CV)" 0.849769866367111 2 5.65658261925548 0.00311764706501338
"Permanent" "Collapsing rate (q)" "2 km" "s(WatCov_Mean)" 0.702972538637511 2 2.36742956496485 0.0447536131715478
"Permanent" "Collapsing rate (q)" "2 km" "s(WatCov_CV)" 1.549777587493 2 6.24147044512126 0.0104011123480583
"Permanent" "Proportional decay rate (b)" "5 km" "(Intercept)" 0.417955640913357 0.0890232231000522 4.69490573761434 2.66729692264626e-06
"Permanent" "Proportional decay rate (b)" "5 km" "s(Long)" 0.394291591416068 2 0.649665055920561 0.185728082891593
"Permanent" "Proportional decay rate (b)" "5 km" "s(Betw_CV)" 1.66633754025179 4 9.45457318171472 0.00189057480461652
"Permanent" "Proportional decay rate (b)" "5 km" "s(OutDeg_CV)" 5.52422673379419e-06 2 2.08993759676946e-08 0.995362839713511
"Permanent" "Proportional decay rate (b)" "5 km" "s(WatCov_Mean)" 0.827382165242022 2 4.63311441498773 0.0146646630415334
"Permanent" "Proportional decay rate (b)" "5 km" "s(WatCov_CV)" 0.871630902733419 2 6.60202269239237 0.00492743336370571
"Permanent" "Collapsing rate (q)" "5 km" "(Intercept)" -0.651782038516669 0.00301756631606454 -215.995928588808 0
"Permanent" "Collapsing rate (q)" "5 km" "s(Long)" 0.00014802154558856 2 7.43119544466356e-05 0.5628808509245
"Permanent" "Collapsing rate (q)" "5 km" "s(Betw_CV)" 1.78336066511731 4 6.22071917975305 0.0167157596379874
"Permanent" "Collapsing rate (q)" "5 km" "s(OutDeg_CV)" 0.263891660308263 2 0.358250425094075 0.222232598585325
"Permanent" "Collapsing rate (q)" "5 km" "s(WatCov_Mean)" 5.57309143548727e-05 2 1.35794457623769e-05 0.617277310499557
"Permanent" "Collapsing rate (q)" "5 km" "s(WatCov_CV)" 1.72959609124301 2 24.6867534443679 -1.54139163655032e-08
"Permanent" "Proportional decay rate (b)" "10 km" "(Intercept)" 0.420852167482383 0.0793982574599415 5.30052145911029 1.15472391651869e-07
"Permanent" "Proportional decay rate (b)" "10 km" "s(Long)" 0.597897292013973 2 1.46330832229654 0.115250318529635
